Date,TSLA,BND,SPY
2015-07-01,18.073999404907227,60.79417885969534,175.11099468650048
2015-07-02,18.68000030517578,60.93702364900963,175.3975959243057
2015-07-03,18.68000030517578,60.93702364900963,175.3975959243057
2015-07-06,18.59199905395508,61.22268317666172,173.45875980949862
2015-07-07,18.333332061767575,61.41065276055859,174.46193347942804
2015-07-08,17.288000106811523,61.37301650010866,174.00670311754243
2015-07-09,17.27199935913086,61.312882593113,174.5293362106964
2015-07-10,17.481332778930664,60.90693211866166,174.740101412253
2015-07-13,17.483333587646484,60.78665578222065,176.17316967814173
2015-07-14,17.47333335876465,60.89196014404297,176.78850000389795
2015-07-15,17.78266716003418,60.89944438635153,177.63995589210413
2015-07-16,17.614667892456055,60.94454768084044,178.60092386121022
2015-07-17,18.166667938232425,61.07985341588682,178.95492994115563
2015-07-20,18.333332061767575,61.0347444859622,179.34273416345243
2015-07-21,18.003332138061523,60.98211297406912,179.07294142614816
2015-07-22,17.417999267578125,61.13245045866473,177.80850221838858
2015-07-23,17.976667404174805,61.1550354094186,178.3142895788303
2015-07-24,17.825332641601562,61.335504058163146,177.27743530770218
2015-07-27,17.495332717895508,61.41059996595693,174.44504207482453
2015-07-28,17.049999237060547,61.35049771727376,175.16151472384064
2015-07-29,17.618000030517578,61.32042179779689,176.58617095558213
2015-07-30,17.512666702270508,61.25275626435246,177.15943906341013
2015-07-31,17.84000015258789,61.478264707625605,178.22156421119357
2015-08-03,17.752666473388672,61.54525857733221,177.4123228492579
2015-08-04,17.333999633789062,61.59052140908612,176.77166763297515
2015-08-05,17.57200050354004,61.35693746344499,177.40389379363725
2015-08-06,16.63599967956543,61.349384261799614,177.26897981439913
2015-08-07,16.238666534423828,61.469958529883854,175.47349323481643
2015-08-10,15.876667022705078,61.45484688574955,176.4175766084082
2015-08-11,15.8100004196167,61.57545015391606,176.15627611778075
2015-08-12,15.666666984558104,61.71100014970362,174.58833965388175
2015-08-13,15.990667343139648,61.52263654594349,175.95392945983335
2015-08-14,16.482667922973633,61.43232727050781,175.70104993416635
2015-08-17,17.03733253479004,61.5754249252906,175.93706857851717
2015-08-18,17.025333404541016,61.469989257432566,177.24376797609105
2015-08-19,17.35533332824707,61.37208577243978,176.25741807513072
2015-08-20,16.804000854492188,61.6733086196822,174.0825236333636
2015-08-21,15.733332633972168,61.748664080684776,170.05315773518646
2015-08-24,13.519332885742188,61.99726611161167,158.0492029080504
2015-08-25,15.368000030517578,61.71100014970362,164.7423809116939
2015-08-26,15.195332527160645,61.424722281919166,161.9184009573475
2015-08-27,15.399999618530272,61.29669032687851,166.08270949548384
2015-08-28,16.124000549316406,61.53779002956002,167.33038092455337
2015-08-31,16.374666213989258,61.53021099003539,167.00157161091937
2015-09-01,16.022666931152344,61.43847643841201,162.79517297681065
2015-09-02,16.35333251953125,61.43850130233992,164.05958354757485
2015-09-03,16.804000854492188,61.53660683835147,165.44210185476058
2015-09-04,16.05933380126953,61.60456648577848,162.5675396245496
2015-09-07,16.05933380126953,61.60456648577848,162.5675396245496
2015-09-08,16.336666107177734,61.53660683835147,165.17233688703516
2015-09-09,16.803333282470703,61.31017931910458,168.02158008627222
2015-09-10,16.48200035095215,61.46867679978977,164.0089920648511
2015-09-11,16.50933265686035,61.5139904783408,164.70026504493737
2015-09-14,16.739999771118164,61.5592576314122,166.02370550012674
2015-09-15,16.850000381469727,61.43842719886551,165.73710864962217
2015-09-16,16.869333267211914,61.19696328008811,167.6001190699612
2015-09-17,17.597333908081055,61.17430974856861,168.6116571545534
2015-09-18,17.19733238220215,61.61966871695955,165.83616571731977
2015-09-21,17.59866714477539,61.61209796355872,166.45471367833704
2015-09-22,17.268667221069336,61.59700197872384,164.285493423596
2015-09-23,17.463333129882812,61.64229780902241,164.48038021747945
2015-09-24,17.302000045776367,61.77815938036846,162.81954549436776
2015-09-25,17.77400016784668,61.59704609461946,164.92946689768547
2015-09-28,17.156667709350586,61.61967452711026,162.50603058551602
2015-09-29,16.69733238220215,61.687609606754094,159.53180483068311
2015-09-30,16.799999237060547,61.740461086832255,161.3112592596426
2015-10-01,16.500667572021484,61.939883355371656,162.7602571475838
2015-10-02,15.706666946411133,62.15168803206785,160.80287129216686
2015-10-05,16.589332580566406,62.03822476273764,166.47160808714335
2015-10-06,16.0,61.94745549700173,168.03929240105597
2015-10-07,15.775333404541016,61.92476504509898,168.53919917195427
2015-10-08,15.338666915893556,61.96259736335201,168.58159360954522
2015-10-09,14.728667259216309,61.781038308105366,170.640698058062
2015-10-12,14.866000175476074,61.90206882248111,170.67452127472737
2015-10-13,14.218667030334473,61.97775290570195,170.02202754040087
2015-10-14,14.711333274841309,62.0836123941897,169.62383679293526
2015-10-15,14.428667068481444,62.13657616554346,169.53909774564403
2015-10-16,14.869333267211914,62.06848821001155,171.86930283310053
2015-10-19,15.100000381469728,62.08361902875798,171.58969301299453
2015-10-20,15.1813325881958,61.97772598266601,171.8863050804191
2015-10-21,14.13266658782959,62.09120178222656,172.53025265572137
2015-10-22,14.104000091552734,62.091214556823466,171.99643380695693
2015-10-23,14.333333015441896,62.08359849301972,175.61463763959742
2015-10-26,14.092000007629396,62.12898699197963,175.65701105831425
2015-10-27,14.322667121887209,62.2197586242676,174.72493813301426
2015-10-28,14.087332725524902,62.15926457462579,175.40281772403125
2015-10-29,14.116666793823242,61.87186723107869,176.54673319079114
2015-10-30,14.026666641235352,61.72812454570327,177.14834337446285
2015-11-02,13.928000450134276,61.72709979489066,176.52130839690014
2015-11-03,14.256667137145996,61.69679504701352,177.91944491080895
